,Blue WeSave定息儲蓄保S2,Welllink 喜盈於「息」特級儲蓄保障計劃,BOC 五年期精英儲蓄保險計劃,BOC Life 目標三年網上短期儲蓄保險計劃,Tahoe 目標三年網上短期儲蓄保險計劃,Tahoe 月月豐收 2
1年,"$25,500.00","$24,030.00","$22,799.00","$20,564.00","$10,429.00",
2年,"$26,010.00","$24,633.00","$23,017.00","$17,826.00","$23,948.00",
3年,"$26,660.00","$26,027.00","$24,093.00","$26,793.00","$24,978.00",
4年,"$27,327.00","$27,603.00","$25,209.00",,"$26,445.00",
5年,"$28,433.00","$29,108.00","$27,601.00",,"$29,237.00",
6年,,"$30,151.00",,,,
7年,,"$31,232.00",,,,
8年,,"$32,351.00",,,,
