year,name,amount
1,Blue WeSave定息儲蓄保S2,63750
1,Welllink 喜盈於「息」特級儲蓄保障計劃,60355
1,ChinaLife 五年期精英儲蓄保險計劃,56998
1,BOC Life 目標三年網上短期儲蓄保險計劃,51410
1,Tahoe 目標三年網上短期儲蓄保險計劃,26068
1,Tahoe 月月豐收 2,18604
2,Blue WeSave定息儲蓄保S2,65025
2,Welllink 喜盈於「息」特級儲蓄保障計劃,61869
2,ChinaLife 五年期精英儲蓄保險計劃,57544
2,BOC Life 目標三年網上短期儲蓄保險計劃,44566
2,Tahoe 目標三年網上短期儲蓄保險計劃,59901
2,Tahoe 月月豐收 2,50141
3,Blue WeSave定息儲蓄保S2,66651
3,Welllink 喜盈於「息」特級儲蓄保障計劃,65371
3,ChinaLife 五年期精英儲蓄保險計劃,60235
3,BOC Life 目標三年網上短期儲蓄保險計劃,66982
3,Tahoe 目標三年網上短期儲蓄保險計劃,62478
3,Tahoe 月月豐收 2,62860
4,Blue WeSave定息儲蓄保S2,68317
4,Welllink 喜盈於「息」特級儲蓄保障計劃,69329
4,ChinaLife 五年期精英儲蓄保險計劃,63024
4,Tahoe 目標三年網上短期儲蓄保險計劃,66149
4,Tahoe 月月豐收 2,66068
5,Blue WeSave定息儲蓄保S2,71084
5,Welllink 喜盈於「息」特級儲蓄保障計劃,73109
5,ChinaLife 五年期精英儲蓄保險計劃,69004
5,Tahoe 目標三年網上短期儲蓄保險計劃,73132
5,Tahoe 月月豐收 2,69391
6,Welllink 喜盈於「息」特級儲蓄保障計劃,75728
7,Welllink 喜盈於「息」特級儲蓄保障計劃,78442
8,Welllink 喜盈於「息」特級儲蓄保障計劃,81253
